relative_path,extension,size_bytes,modified_utc,sha256,profile_status
0 Admin/Baseline_Evaluation_Workplan_02042026.xlsx,.xlsx,11736,2026-04-02T10:21:22+00:00,5af4079e8f5d312a45b2f4dfb01bc0ae260430a60169e1cb53d2e712cfaf2d0c,schema_profiled
0 Admin/Contract_Jorge_Signed.docx,.docx,52429,2026-04-16T12:36:16.655779+00:00,b7a0bae3bd390a29c7656e8bb679e41e6a1b6aa37ddbb52ac977c19c89eef6b3,document_profiled
0 Admin/Scope of Work outline.docx,.docx,57349,2026-02-21T17:25:54.421389+00:00,9d07b01564a754e6a38e5cde135836d5cd91f51652bc52661f98e211ac98509e,document_profiled
1 Literature/AI Podcast Transcript.docx,.docx,62218,2026-04-23T11:09:54.779265+00:00,a89d77aa0874ff48ada3847e4aa7702162800dca379f4acb17817d53a23dc531,document_profiled
"1 Literature/Albezreh et al. - 2022 - Multiyear, Multisectoral Training Program in Kenya to Enhance Medical–Legal Processes in Response to.pdf",.pdf,599942,2026-04-14T09:13:52.770468+00:00,d19ee9c8717179ceb8626e9b0a240b7e4b457f27c7bfbfdafac8d63f7fabe380,document_profiled
"1 Literature/Aronow and Samii - 2017 - Estimating average causal effects under general interference, with application to a social network e.pdf",.pdf,1031502,2026-04-14T15:24:44.364180+00:00,0e90860ec951314c117b018ae76acb5adb1c476aec0516315c4d6c34bc6cccbb,document_profiled
1 Literature/Baird et al. - 2018 - Optimal Design of Experiments in the Presence of Interference.pdf,.pdf,550878,2026-04-14T09:15:05.922772+00:00,04f693477f25f398efda87fc2da4030c6a205284cffbc6f43ec6754818fe9ff1,document_profiled
1 Literature/Banik - 2009 - Legal Empowerment as a Conceptual and Operational Tool in Poverty Eradication.pdf,.pdf,93442,2026-04-14T12:11:39.464372+00:00,ab57e171c32118043ab5d1b9cea81879aa783cc63bd2efe1d6cb883f0304f074,document_profiled
"1 Literature/Beckman et al. - 2024 - Reducing Re-arrest Through Community-Led, Police-Initiated Restorative Justice Diversion Tailored fo.pdf",.pdf,286532,2026-04-14T13:54:12.566872+00:00,f4dce438306f76f9ace0f5b7005153f075afb49ee7acb6446908203c9489fa67,document_profiled
1 Literature/Blattman et al. - 2014 - How to Promote Order and Property Rights under Weak Rule of Law An Experiment in Changing Dispute R.pdf,.pdf,561097,2026-04-14T13:16:32.198702+00:00,453e1a66f434dcdce7307cd30bbcca39c1f79f3693565e239b13025f901120e4,document_profiled
1 Literature/Braithwaite - 2021 - Street-Level Meta-Strategies Evidence on Restorative Justice and Responsive Regulation.pdf,.pdf,496077,2026-04-14T12:37:58.857357+00:00,6a3ee4b950d3f6d867c771732cd1b35052ef06a0642aba80b5116ca1a71ac5d9,document_profiled
1 Literature/Callaway and Sant’Anna - 2021 - Difference-in-Differences with multiple time periods.pdf,.pdf,828138,2026-04-14T15:22:14.874323+00:00,88cdd094589af58608a0d6675a00b57f36c8583d5f1e40e892e06a700307867f,document_profiled
1 Literature/CDFU Docs/CDFU LCCs Checklist for Maturity REVISED MAY 2025 (1).doc,.doc,5481984,2026-04-20T15:36:45+00:00,0f57af00258840434c2a412b5b0dee26ab1add82570328daabae64a108360285,inventoried
1 Literature/CDFU Docs/desktop.ini,.ini,178,2026-04-14T14:42:22.870485+00:00,c89e692f83dadccbe031271fb3349d2d994ee5adf1d52fc383cb8874fd4b657f,text_profiled
1 Literature/CDFU Docs/LC COURTS TRAINING MANUAL (1).doc,.doc,214781,2026-04-20T15:35:57+00:00,6449268a91784670e9cd5b8c33b3caa4e401cdb27dd6e76d6b936b25ca8fbebb,inventoried
1 Literature/CDFU Docs/Leaflet-LC Training (1).pdf,.pdf,1242282,2026-04-20T15:35:52+00:00,ae88a6932292de9ce53b2cca72d8f614c579befc074ee41ba9baa916b2f98866,document_profiled
1 Literature/Cooper-Knock and Macdonald - 2020 - A summons to the magistrates’ courts in South Africa and Uganda.pdf,.pdf,304247,2026-04-14T09:15:35.400661+00:00,70423a9605212da118510379d8ce4e96bc85ada2e4e08211ec91528833f98c45,document_profiled
1 Literature/Creutzfeldt and Bradford - 2016 - Dispute Resolution Outside of Courts Procedural Justice and Decision Acceptance Among Users of Ombu.pdf,.pdf,193111,2026-04-14T15:08:11.828553+00:00,6d7714122422c7eea56a3a320206d141ab6d537afe3ada6c522b347d4ecddce4,document_profiled
1 Literature/Engle Merry - 1988 - Legal Pluralism.pdf,.pdf,3672932,2026-04-14T10:13:57.994067+00:00,803141da54cd4c12343047ea2c3c71c6e8b96ff662acca7ea2c59ad5b49e4045,document_profiled
1 Literature/Esposito and Wright - 2025 - Public policies for peace.pdf,.pdf,1120741,2026-04-14T13:18:23.997398+00:00,5b774bd914b88e1aa09360838284bb657fc743cf1aa0185a8d3d2da9e08d5249,document_profiled
